imagem,id,cod_sku_rede,fabricante,nome_prod,preço,preço_promocional,data,Conhece o Produto?,Precepção do Preço
https://atacadaobr.vtexassets.com/arquivos/ids/281407/g.jpg?v=638465201590400000,31415,31415,Ninho,Leite em Pó Ninho Integral Lata com 380g,21.5,21.5,2024-07-10 11:01:13.282044,False,Barato
https://atacadaobr.vtexassets.com/arquivos/ids/272305/m.jpg?v=638418539452700000,30538,30538,Italac,Leite Condensado Italac Semidesnatado TP com 395g,5.65,5.65,2024-07-10 11:01:13.282044,False,Barato
https://atacadaobr.vtexassets.com/arquivos/ids/272003/p.jpg?v=638416811643030000,27439,27439,Piracanjuba,Creme de Leite Piracanjuba TP com 200g,3.65,3.65,2024-07-10 11:01:13.282044,False,Barato
https://atacadaobr.vtexassets.com/arquivos/ids/278249/m.jpg?v=638459147316370000,30600,30600,Nestlé,Leite Condensado Moça Integral Lata com 395g,11.25,11.25,2024-07-10 11:01:13.282044,False,Barato
https://atacadaobr.vtexassets.com/arquivos/ids/239783/g.jpg?v=638353833768500000,12476,12476,Heineken,Cerveja Heineken Long Neck com 330ml,6.35,6.35,2024-07-10 11:01:13.282044,False,Barato
https://atacadaobr.vtexassets.com/arquivos/ids/230776/g.jpg?v=638353734437070000,30596,30596,Marajoara,Leite Condensado Marajoara Semidesnatado TP com 395g,5.52,5.52,2024-07-10 11:01:13.282044,True,Caro
https://atacadaobr.vtexassets.com/arquivos/ids/229327/g.jpg?v=638353718648770000,9925,9925,Kicaldo,Feijão Carioca Kicaldo Tipo 1 Pacote com 1kg,6.59,6.59,2024-07-10 11:01:13.282044,False,Barato
https://atacadaobr.vtexassets.com/arquivos/ids/300607/m.jpg?v=638540366058370000,11276,11276,Amstel,Cerveja Amstel Sleek Lata com 350ml,3.39,3.39,2024-07-10 11:01:13.282044,False,Barato
https://atacadaobr.vtexassets.com/arquivos/ids/230682/g.jpg?v=638353733341500000,2371,2371,União,Açúcar União Refinado Pacote com 1kg,5.49,5.49,2024-07-10 11:01:13.282044,True,Normal
https://atacadaobr.vtexassets.com/arquivos/ids/273222/g.jpg?v=638428907418470000,326,326,Santa Helena,Doce Paçoca Santa Helena Paçoquita Rolha Embalada Caixa com 100 unidades,37.9,37.9,2024-07-10 11:01:13.282044,False,Barato
